Datum und Uhrzeit,Blindleistung | Symo GEN24 8.0 Plus,Energie | Symo GEN24 8.0 Plus,Energie MPP1 | Symo GEN24 8.0 Plus,Energie MPP2 | Symo GEN24 8.0 Plus,Generatorisolationswiderstand | Symo GEN24 8.0 Plus,Leistungsfaktor | Symo GEN24 8.0 Plus,Scheinleistung | Symo GEN24 8.0 Plus,Spannung AC L1 | Symo GEN24 8.0 Plus,Spannung AC L1-L2 | Symo GEN24 8.0 Plus,Spannung AC L2 | Symo GEN24 8.0 Plus,Spannung AC L2-L3 | Symo GEN24 8.0 Plus,Spannung AC L3 | Symo GEN24 8.0 Plus,Spannung AC L3-L1 | Symo GEN24 8.0 Plus,Spannung DC MPP1 | Symo GEN24 8.0 Plus,Spannung DC MPP2 | Symo GEN24 8.0 Plus,Spannung DC MPP3 | Symo GEN24 8.0 Plus,Spannung DC MPP4 | Symo GEN24 8.0 Plus,Spezifischer Ertrag | Symo GEN24 8.0 Plus,Strom AC L1 | Symo GEN24 8.0 Plus,Strom AC L2 | Symo GEN24 8.0 Plus,Strom AC L3 | Symo GEN24 8.0 Plus,Strom DC MPP1 | Symo GEN24 8.0 Plus,Strom DC MPP2 | Symo GEN24 8.0 Plus,Strom DC MPP3 | Symo GEN24 8.0 Plus,Strom DC MPP4 | Symo GEN24 8.0 Plus,Direkt verbraucht,Energie aus Batterie bezogen,Energie in Batterie gespeichert,Energie ins Netz eingespeist,Energie vom Netz bezogen,PV Produktion,Verbrauch,State of Charge,Scheinleistung L1 Einspeisepunkt | PowerMeter,Scheinleistung L2 Einspeisepunkt | PowerMeter,Scheinleistung L3 Einspeisepunkt | PowerMeter,Spannung AC L1 Einspeisepunkt | PowerMeter,Spannung AC L2 Einspeisepunkt | PowerMeter,Spannung AC L3 Einspeisepunkt | PowerMeter,Wirkleistung L1 Einspeisepunkt | PowerMeter,Wirkleistung L2 Einspeisepunkt | PowerMeter,Wirkleistung L3 Einspeisepunkt | PowerMeter
[dd.MM.yyyy HH:mm],[VAr],[Wh],[Wh],[Wh],[Ω],[1],[VA],[V],[V],[V],[V],[V],[V],[V],[V],[V],[V],[kWh/kWp],[A],[A],[A],[A],[A],[A],[A],[Wh],[Wh],[Wh],[Wh],[Wh],[Wh],[Wh],[%],[VA],[VA],[VA],[V],[V],[V],[W],[W],[W]
01.10.2023 00:00,0.0,0,0.0,0.0,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.34,39.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,n/a,178.79,68.87,56.25,233.46,233.73,234.63,90.01,29.22,38.53
01.10.2023 00:00,n/a,n/a,n/a,n/a,2056115328.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
01.10.2023 00:05,0.0,0,0.0,0.0,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.95,39.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,n/a,210.91,66.19,56.02,233.54,234.05,234.71,146.29,19.39,38.25
01.10.2023 00:05,n/a,n/a,n/a,n/a,2056115328.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
01.10.2023 00:10,0.0,0,0.0,0.0,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.27,40.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,n/a,196.86,72.18,55.74,232.53,233.13,233.82,129.72,41.53,37.99
01.10.2023 00:10,n/a,n/a,n/a,n/a,2056115328.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
01.10.2023 00:15,0.0,0,0.0,0.0,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.1,40.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,n/a,196.15,72.53,55.52,232.13,232.5,232.99,128.99,44.13,37.79
01.10.2023 00:15,n/a,n/a,n/a,n/a,2056115328.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
01.10.2023 00:20,0.0,0,0.0,0.0,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.35,39.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,n/a,210.63,66.1,55.77,232.39,232.9,233.31,147.5,20.52,38.0
